"n_inj","t_half","xm","alpha","offset","upper","i_rep","method","n_detected","n_injected","TP","FP","FN","SEN","SPC","res_dir"
5,5e-05,10,1,30,150,1,"QFD",6,5,4,2,1,0.8,0.666666666666667,"./res_14312715-90"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-90"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-91"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-91"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-92"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-92"
5,5e-05,10,1,30,150,1,"QFD",6,5,4,2,1,0.8,0.666666666666667,"./res_14312715-93"
5,5e-05,10,1,30,150,1,"1-3-sigma",1,5,0,1,5,0,0,"./res_14312715-93"
5,5e-05,10,1,30,150,1,"QFD",7,5,5,3,0,1,0.714285714285714,"./res_14312715-94"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,1,1,4,0.2,0.5,"./res_14312715-94"
5,5e-05,10,1,30,150,1,"QFD",4,4,3,1,1,0.75,0.75,"./res_14312715-95"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,4,0,2,4,0,0,"./res_14312715-95"
5,5e-05,10,1,30,150,1,"QFD",7,5,5,1,0,1,0.714285714285714,"./res_14312715-96"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-96"
5,5e-05,10,1,30,150,1,"QFD",6,5,5,1,0,1,0.833333333333333,"./res_14312715-97"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-97"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,2,1,0.8,0.8,"./res_14312715-98"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-98"
5,5e-05,10,1,30,150,1,"QFD",5,5,5,1,0,1,1,"./res_14312715-99"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14312715-99"
5,5e-05,10,1,30,150,1,"QFD",5,5,4,1,1,0.8,0.8,"./res_14314749-0"
5,5e-05,10,1,30,150,1,"1-3-sigma",2,5,0,2,5,0,0,"./res_14314749-0"
